Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Machine Learning Engineer,"$72K-$124K
(Glassdoor est.)","We love programming and the excitement that comes with building something people use. We are the kind of people that love talking to users and can find the balance between solving a problem quickly and thinking about how your code will work in the future. We love to move fast, keep learning and get stuff done.

Our data science team is still in its early days and you'll have a big impact on our direction and how we operate. You'll be central to researching, developing and shipping products that help our customers learn and grow from their data. For this role, we're looking for people who have developed split brains--software engineers who have become great at writing machine learning code or data scientists who have become great software developers.

Technologies we use (not comprehensive!):
Python

Numpy, Scipy, Pandas

Aurora, Cassandra, Kafka

HTML, JavaScript, React

SageMaker

How you will make a difference:


Analyze large data sets (we're collecting billions of individual actions every month).
Build products that enable our customers to grow faster and communicate more effectively with their customers.
Develop machine learning models and pipelines for research and production.

Who You Are:


Have experience implementing machine learning models, data pipelines and testing frameworks for research and production use.
Have demonstrated a measurable impact based on the models you've created. It's not always easy getting a model correct, we love talking about places we got stuck and work as a team to think through ideas that could unblock us.
Have experience processing cloud-scale data using parallel, elastic, streaming and similar techniques.
Enjoy tuning and validating machine learning models and take a rigorous approach.
Understand how to profile code and optimize performance.
Aspire to correctness (e.g. in your code, in drawing conclusions from data)
Have a bachelor's or advanced degree in computer science, applied math, statistics or other relevant quantitative discipline, or equivalent industry experience.

Get to know Klaviyo

Klaviyo is the world's leading owned marketing platform known for accelerating revenue for online businesses using the channels they own like email, web, and mobile. Enabling companies to leverage these owned marketing channels, Klaviyo makes it easy to store, access, analyze and use transactional and behavioral data to power highly-targeted customer and prospect communications. And unlike other marketing platforms, Klaviyo doesn't force companies to compromise between advanced functionality or ease of use - so companies of all sizes are able to maximize their sales quickly. That's why over 28,000+ innovative companies like Unilever, Custom Ink and Eventbrite sell more with Klaviyo.",4.8,"Klaviyo
4.8","Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Software Engineer (Remote),-1,"About you:
Care deeply about democratizing access to data.
Passionate about big data and are excited by seemingly-impossible challenges.
At least 80% of people who have worked with you put you in the top 10% of the people they have worked with.
You think life is too short to work with B-players.
You are entrepreneurial and want to work in a super fast-paced environment where the solutions aren't already predefined.
You live in the U.S. or Canada and are comfortable working remotely.
About SafeGraph:
SafeGraph is a B2B data company that sells to data scientists and machine learning engineers.
SafeGraph's goal is to be the place for all information about physical Places
SafeGraph currently has 30+ people and has raised a $20 million Series A. CEO previously was founder and CEO of LiveRamp (NYSE:RAMP).
Company is growing fast, over $10M ARR, and is currently profitable.
Company is based in San Francisco but more than 50% of the team is remote. We get the entire company together in the same place every month (when possible).
We have been moving very quickly in the current pandemic, building up new products and releasing up-to-date dashboards to the general public. We are providing our aggregated and anonymized location data at no cost for non-commercial use, to anyone with the shared goal of fighting to prevent the spread of COVID-19 and helping to get the economy moving in its aftermath. We now have a vibrant community of 2000+ organizations in this Consortium. You can see the publications here.

About the role:
Core software engineer.
Reporting to SafeGraph's VP Engineering.
Work as an individual contributor.
Opportunities for future leadership.

Requirements:
No Resume? No Problem! A LinkedIn is all you need to apply!
You have at least 3 years of relevant work experience.
Proficiency writing production-quality code, preferably in Scala, Java, or Python.
Strong familiarity with distributed system, or map/reduce data processing.
Deep understanding of all things ""data"" - schema design, modeling, optimization, scalability, etc.
You are authorized to work where you are.
Excellent communication skills.
You are amazingly entrepreneurial.
You want to help build a massive company.
Nice to haves:
Experience using Apache Spark to solve production-scale problems.
Experience with AWS.
Experience with building ML models from the ground up.
Experience working with huge data sets.
Python, Database and Systems Design, Scala, Data Science, Apache Spark, Hadoop MapReduce.
Good reading on how we are thinking:
SafeGraph Vision and Values
Open Information to Power Innovation
Where Should Machines go to Learn
Data-As-A-Service Bible: Everything You Wanted to Know About Running DaaS Companies
Don't fit this description perfectly but still think this is the role for you? Apply and let us know why!",4.5,"SafeGraph
4.5",Remote,"San Francisco, CA",1 to 50 employees,2016,Company - Private,Internet,Information Technology,$10 to $25 million (USD),-1
Data Science Software Engineer,"$86K-$125K
(Glassdoor est.)","We love programming and the excitement that comes with building something people use. We are the kind of people that love talking to users and can find the balance between solving a problem quickly and thinking about how your code will work in the future. We love to move fast, keep learning and get stuff done.

Our data science team is still in its early days and you'll have a big impact on our direction and how we operate. You'll be central to researching, developing and shipping products that help our customers learn and grow from their data. For this role, we're looking for people who have developed split brains--software engineers who have become great at writing machine learning code or data scientists who have become great software developers.

Technologies we use (not comprehensive!):
Python

Numpy, Scipy, Pandas

Aurora, Cassandra, Kafka

HTML, JavaScript, React

SageMaker

How you will make a difference:


Analyze large data sets (we're collecting billions of individual actions every month).
Build products that enable our customers to grow faster and communicate more effectively with their customers.
Develop machine learning models and pipelines for research and production.

Who You Are:


Have experience implementing machine learning models, data pipelines and testing frameworks for research and production use.
Have demonstrated a measurable impact based on the models you've created. It's not always easy getting a model correct, we love talking about places we got stuck and work as a team to think through ideas that could unblock us.
Have experience processing cloud-scale data using parallel, elastic, streaming and similar techniques.
Enjoy tuning and validating machine learning models and take a rigorous approach.
Understand how to profile code and optimize performance.
Aspire to correctness (e.g. in your code, in drawing conclusions from data)
Have a bachelor's or advanced degree in computer science, applied math, statistics or other relevant quantitative discipline, or equivalent industry experience.

Get to know Klaviyo

Klaviyo is the world's leading owned marketing platform known for accelerating revenue for online businesses using the channels they own like email, web, and mobile. Enabling companies to leverage these owned marketing channels, Klaviyo makes it easy to store, access, analyze and use transactional and behavioral data to power highly-targeted customer and prospect communications. And unlike other marketing platforms, Klaviyo doesn't force companies to compromise between advanced functionality or ease of use - so companies of all sizes are able to maximize their sales quickly. That's why over 28,000+ innovative companies like Unilever, Custom Ink and Eventbrite sell more with Klaviyo.",4.8,"Klaviyo
4.8","Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
"Software Engineer, Machine Learning","$135K-$165K
(Glassdoor est.)","The opportunity


Grammarly empowers people to thrive and connect, whenever and wherever they communicate. More than 20 million people around the world use our AI-powered writing assistant every day. All of this begins with our team collaborating in a values-driven and learning-oriented environment.

To achieve our ambitious goals, we're looking for a Software Engineer focused on machine learning to join our team. This individual will be responsible for building end-to-end intelligence systems that solve complex user problems, including applying ML to solve new problems as well as building the infrastructure and systems that will enable this to operate effectively at scale. The role will have the opportunity to provide feedback about the systems and tools in place to facilitate the creation and improvement of a machine learning platform that can increase the efficacy of the engineering team.

Grammarly's engineers and researchers have the freedom to innovate and uncover breakthroughs—and, in turn, influence our product roadmap. The complexity of our technical challenges is growing rapidly as we scale our interfaces, algorithms, and infrastructure. Read more about our stack or hear from our team on our technical blog.

Your impact


The Software Engineer for machine learning will need to stay up-to-date on the quickly evolving field of NLP while also focusing on building production systems. The majority of the problems we're tackling haven't already been solved elsewhere, which provides the opportunity for creativity and innovative problem-solving.

Working on the Machine Learning team requires close partnership with analytical linguists, computational linguists, and research scientists. You will have the chance to deepen your skills in machine learning and deep learning while increasing breadth in related areas to up-level our entire team.

In this role, you will:
Build end-to-end machine learning solutions to solve complex customer problems.
Collaborate with applied researchers to ensure they are well-calibrated on the constraints of the production system, ensuring their research proceeds along practical pathways as they explore novel techniques to tackle previously unsolved problems.
Effectively communicate technical machine learning results in a business context where most people are not machine learning experts.
Build the systems to help applied researchers scale their models in a production environment.
Design experiments, including for offline prototypes in a statistically sound way that will provide actionable data and enable us to make reliable decisions as we iterate on a project.
Promote excellence and best practices across the machine learning team in regards to research, implementation, tooling, and system design.
Work cross-functionally across multiple partner teams to get new features shipped across our many interfaces.
We're looking for someone who
Embodies our EAGER values—is ethical, adaptable, gritty, empathetic, and remarkable.
Understands traditional machine learning algorithms and how to use them effectively in practice.
Is familiar with deep learning and its applications in industry.
Has a strong working knowledge of statistics as it relates to sampling methodologies and designing experiments
Understands data structures and algorithms at a level sufficient to write performant code when working with large datasets or large incoming data streams.
Is aware of NLP techniques to effectively work with very high-dimensional, sparse data.
Has enough experience with academic research to be comfortable reading and implementing papers to reproduce their results.\
Support for you, professionally and personally
Professional growth: We hire people we trust, and we give team members autonomy to do their best work. We also support professional development with training, coaching, and regular feedback.
A connected team: Grammarly builds products that help people connect, and we apply this mindset to our own team. We have a highly collaborative culture supported by our EAGER values. We also take time to celebrate our colleagues and accomplishments with global, local, and team-specific events and programs.
Comprehensive benefits: Grammarly offers all team members competitive pay along with a benefits package that includes superior health care. We also offer ample and defined time off, catered lunches, gym and recreation stipends, admission discounts, and more.
We encourage you to apply


At Grammarly, we value our differences, and we encourage all—especially those whose identities are traditionally underrepresented in tech organizations—to apply. We do not discriminate on the basis of race, religion, color, gender expression or identity, sexual orientation, national origin, citizenship, age, marital status, veteran status, disability status, or any other characteristic protected by law. Grammarly will consider qualified applicants with criminal histories in a manner consistent with the San Francisco Fair Chance Ordinance. Grammarly is an equal opportunity employer and participant in the U.S. Federal E-Verify program.",5.0,"Grammarly
5.0","San Francisco, CA","San Francisco, CA",201 to 500 employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Machine Learning Engineer/Scientist,"$137K-$146K
(Glassdoor est.)","At GenapSys we are working to power the world of healthcare and diagnostics with advanced DNA sequencing technology. Our sequencing instrument platform leverages a proprietary electrical microfluidic sequencing chip with a scalable number of detectors, enabling a wide range of applications including targeted sequencing in oncology, pharmacogenomics and genome-wide sequencing in microbiology and others. We believe in a world where every researcher has a compact, scalable, and affordable sequencer in their own lab, empowering the democratization of genetic sequencing. Our novel sequencing method is revolutionizing genomics discovery, biomedical research, healthcare, diagnostics, agriculture, and a variety of other fields.

Our team brings together an incredibly diverse and multidisciplinary set of backgrounds and skills – from electrical and mechanical engineers, physicists, chemists, microfluidic engineers, molecular biologists, bioinformaticians, mathematicians and more. It is a super exciting time to join GenapSys as we recently launched our first product which is generating a tremendous amount of interest.

About the Role:

Machine learning approaches are at the core of GenapSys' methods for generating high quality DNA sequencing data. As a machine learning engineer, you will join forces in the development of cutting-edge machine learning methods that solve key problems in the DNA sequencing, base calling, and variant calling processes. You will work closely with a cross-functional team of life scientists, bioengineers, and data scientists to identify areas where machine learning can make a difference, to conceptualize and develop biological datasets using cutting edge, high throughput platforms, and to analyze these data sets using the best machine learning methods, applied at scale.

Qualifications:
MS, or Ph.D. in computer science, statistics, mathematics, physics, engineering, or equivalent practical experience.
Expertise in Python and with version control practices and tools, especially Git/Github.
Demonstrated ability to write high-quality, production-ready code (readable, well-tested, with well-designed APIs).
1- 4 years of real-world work experience in software development for high-end machine learning algorithms.
Significant experience with Tensorflow.
Demonstrated prior experience with time series data analysis.
Demonstrated hands-on experience with development of Deep Learning models, various Neural Network concepts, classification algorithms that go beyond putting together of existing code, and to apply troubleshooting and problem-solving skills to complex issues.
Ability to communicate effectively and collaborate with people of diverse backgrounds and job functions.
Bonus Points If:
Experience with biological data (DNA sequences, RNAseq, proteomics, microscopy images, etc.).
Proficiency in Linux environment (including shell scripting), experience with database languages (e.g., SQL, No-SQL).
Familiarity with cloud computing services (AWS or GCP).
Experience with scalable machine learning, including the application to large datasets.
What we offer (US based-employees)*:
Competitive compensation and generous stock options.
Comprehensive, industry-leading medical, dental and vision benefits for employees and dependents.
Pre-tax savings plans for health care, child care, elder care, public transportation and parking expenses.
401(k) retirement plan with matching employer contribution.
Free daily catered gourmet lunches and snacks.
For those emergency moments - long and short term disability, life insurance (2x salary) and an employee assistance program.
Work with driven and enthusiastic colleagues in a fast-paced and entrepreneurial environment, the opportunity to work on problems that matter in a highly collaborative environment.
*Eligible international employees' benefits are specific to their location and dependent on their employer of record

GenapSys does not accept unsolicited agency resumes. Please do not forward unsolicited agency resumes to our website or to any GenapSys employee. GenapSys will not pay fees to any third party agency or firm and will not be responsible for any agency fees absent a formal agreement.

A diverse and inclusive workplace where we learn from each other is an integral part of GenapSys' culture. We actively welcome people of different backgrounds, experiences, abilities and perspectives. We are an equal opportunity employer and a great place to work. Join us and help us achieve our mission!",3.8,"GenapSys, Inc.
3.8","Redwood City, CA","Redwood City, CA",51 to 200 employees,2010,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Less than $1 million (USD),"Illumina, Thermo Fisher Scientific, Oxford Nanopore Technologies"
Data Scientist- Machine Learning Software Engineer,"$76K-$124K
(Glassdoor est.)","We are looking for the right people — people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themselves and their careers. Experience the challenges, rewards and opportunity of working for one of the world’s largest providers of products and services to the global energy industry.

Overview:

As a data scientist and machine learning software engineer on Halliburton Digital Solution team, you are responsible to deliver digital solutions which can achieve measurable business results through collaborating with subject matter experts in businesses, applying common open source libraries for building data analytics models, prototyping data driven digital tools to tackle business problems. We are looking for top talents who enjoy learning and contributing to our team through creative and innovative thinking.

Job Responsibilities:
Efficiently extract large scale complex business data (time series data, structured/unstructured) from various data sources and prepare them for data analytics.
Partner with product experts, leverage common open source Machine Learning/Deep Learning packages for identifying data patterns/trends or building predictive models.
Deploy solutions to business units using software technologies to generate measurable values for businesses.
Grasp the application of the latest machine learning & artificial intelligence open source packages, cloud and distributed computing technologies to ensure the best technologies are implemented to meet businesses’ data challenges.


Required Qualifications:
Undergraduate degree in Data Science, Computer Science, or Math, or Statistics.
For candidates who hold an engineering degree, we require candidates have taken data science classes already.
7 years of experiences with a minimum of 2 years experiences in extracting the data, using common classification or regression open source packages through R or Python.
Has basic knowledge with big data platforms like Hadoop, Hive, or Phoenix, as well as knowledge in parallel programming, and distributed computing frameworks like Spark.
Preferred Qualifications:
Advanced degree in in Data Science, Math, Statistics, Computer Science, or Engineering:
5 years of experiences with a Master’s degree.
2 years of experiences with a PhD degree.
Has experience with open source machine learning packages and deep learning packages provided by Microsoft Azure, Amazon AWS, or Google GCP (such as Scikit-learn, Azure ML, TensorFlow, Sagemaker).
Interview process:

Potential candidates are required to pass a data challenge test before on-site interview can be scheduled.

Halliburton is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, disability, genetic information, pregnancy, citizenship, marital status, sex/gender, sexual preference/ orientation, gender identity, age, veteran status, national origin, or any other status protected by law or regulation.

Location

3000 N. Sam Houston Parkway E., Houston, Texas, 77032, United States

Job Details

Requisition Number: 87825
Experience Level: Experienced Hire
Job Family: Engineering/Science/Technology
Product Service Line: Global R&D
Full Time / Part Time: Full Time

Additional Locations for this position:

Compensation Information
Compensation is competitive and commensurate with experience.",3.5,"Halliburton
3.5","Houston, TX","Houston, TX",10000+ employees,1919,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$10+ billion (USD),"Weatherford, Schlumberger"
Machine Learning Engineer - Think Tank Team,"$101K-$175K
(Glassdoor est.)","Title: Machine Learning Engineer

Company: Samsung Research America (SRA)

Lab: Think Tank Team

Location: Mountain View, CA

Lab Summary:

The Think Tank Team is an interdisciplinary collective of researchers, designers, scientists and engineers located in Mountain View, CA. Our mandate is to explore what's next for Samsung by applying bleeding-edge advances in software, machine learning, computer-human interaction, sensor and display technologies to solve real-world challenges that will transform users' experiences in ways we can only just glimpse on the horizon today.

TTT began as a small team in 2012 and brought its first concept -- the Samsung Gear watch -- to market one year later. Since then we have released several projects such as the Beyond 3D/360/4k camera for AR/VR cinematography, the BotChef cooking robot, the Ballie personalized companion, and others. We work on a wide variety of time scales, advancing science and applying it to create new products and experiences that will impact the lives of millions.

Our team members represent a diverse skillset, including electrical engineering, computer engineering, signal processing, machine learning, computer vision, visual design, interaction design, industrial design, optics, physics, and more from institutions such as MIT, Caltech, Stanford, CMU, Oxford and others. We believe that the best way to show is to design and build prototypes, and that the best products come from teams collaborating to understand and solve a problem from multiple perspectives. We believe that design and creativity are core duties of every member of our team.

Qualifications & Skills

You must be passionate about creating new devices and technologies, and ready to learn on the fly, solve complex problems, work closely with others, and creatively approach design and engineering tasks at all scales. We believe a person's work speaks for itself, and welcome everyone with the right drive, attitude, and skills.
BS/MS/PhD degree in Computer Science or related technical field or equivalent practical experience.
2 years of work experience in Machine Learning or Artificial Intelligence in real-world settings.
Strong C++ and/or Python skills.
Ability to rapidly prototype with leading ML frameworks.
Experience with current state-of-the-art methods from machine learning & deep learning libraries such as TensorFlow, Caffe, Scikit-Learn, Scipy, Pandas, Torch and others.
Experience with a multitude of machine learning methods such as SVMs, logistic regression, boosting, decision trees, clustering, HMMs etc.
Experience with CV libraries such as OpenCV
Experience in multiple forms of machine leaning, from the very simple to the most complex.
Experience in creation of novel custom features and pre-processing approaches to improve baseline algorithms. Work should go beyond using standard libraries.
Solid understanding of proper evaluation including folds, cross-validation and metrics.
Experience with one or more of the following: Natural Language Processing, GANs, autoencoders, Reinforcement Learning, CNNs, and others.
Flexibility to deal with rapidly changing environment.
Prior experience with signal processing from sensor data is a plus.
Responsibilities
Participate in cutting edge research in machine intelligence and machine learning applications. Leverage expertise from ML research and develop novel predictive models/algorithms
Develop solutions and algorithms that can be applied in variety of real-world applications and devices.
Work closely with researchers and engineers from variety of disciplines to develop new algorithms, product concepts and core-technologies that will bring new business opportunities to Samsung.
If this is something you would love to do, let us know. Show us what you have built, and tell us what you would like to build next!

Samsung is an EEO/Veterans/Disabled/LGBT employer. We welcome and encourage diversity as we strive to create an inclusive workplace.",3.5,"Samsung Research America
3.5","Mountain View, CA","Mountain View, CA",1001 to 5000 employees,1988,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),"Sony, LG Electronics, Nokia"
Principal Software Engineer,"$108K-$211K
(Glassdoor est.)","The Pindrop engineering team solves tough problems and invents new ways to battle fraud using big data and machine learning in the cloud. We are looking for a Principal Backend Software Engineer to join the Data Analytics team as we continue to develop new ways to fight fraud and improve security in voice channels.

The team is responsible for services that process billions of non-audio data events and contribute to our fraud detection and authentication capabilities. Key responsibilities include:
Designing, developing, testing, deploying, and monitoring high-performance, scalable APIs consumed by both cloud and on premise clients
Working with research scientists to design, develop, and deploy state-of-the-art machine learning models to detect fraudsters and positively identify genuine actors
Applying experience and knowledge of industry best practices to support and continuously improve the performance, efficiency, and maintainability of existing applications
what you'll do
Work with a growing team to design, develop, test, deploy, maintain and improve brand new software components and microservices
Refactor existing systems and architect new solutions
Develop applications in Golang and Python on top of a modern cloud focused platform
Maintain and manage services running in our Kubernetes platform
Develop and maintain AWS native services using products such as Kinesis, DynamoDB, and S3
Deliver production ready code from start to finish
Continuously improve service architecture
Create and maintain DataDog monitors
Review code to maintain quality with an eye towards performance, scale, and security
Work with multiple teams to implement company wide solutions
Assist in leading the full development life cycle of projects within the team
Identify and evaluate new technologies for implementation
Contribute to establishing and improving software engineering best practices
Help team members grow their technical expertise through mentoring and coaching
Be a role-model to engineers throughout the Engineering department
who you are
10+ Years of Software engineering experience
Strong expertise in multiple programming languages such Python, Go, Java or C++
Experience building Distributed and Scalable architectures
Expertise in Data Structures, Algorithms and Concurrency
Experience building microservices and RESTful APIs
Knowledge of different Data Storage technologies such as Redis, MySQL, etc.
Knowledge of Docker and container orchestration frameworks such as Kubernetes
Experience with AWS managed services such as S3, ElastiCache and DynamoDB
Experience with service monitoring solutions such as DataDog
Proven track record of providing stable and secure code in production environments
what we offer


As a part of Pindrop, you'll have a direct impact on our growing list of products and thus the future of security in the voice driven economy. We hire great people and take care of them. Here's a snapshot of benefits we offer:
Competitive salary
Paid Parental Leave
Company holidays
Paid time off
Pick your own Apple MacBook Pro
Retirement plan with 401k match
Health plans
Continued education budget (certifications, conferences, etc.)
Flex schedules
Best in class tools
Paid commuter options
Fun outings to celebrate our accomplishments as a team
All the good karma you can rack up for fighting bad guys (our conference rooms are named after the ones we've busted)
who we are


Pindrop is a company founded on research and continues to innovate new ideas to market. Our solutions are leading the way to the future of voice by establishing the standard for security, identity, and trust. Pindrop products secure the future of voice, making technology more human from the call center to IoT devices.

what we live by


Pindrop is driven by our DEPTH values. These are reflected in our goals and the base of our team's peer awards.

Act with Deliberate urgency.
Create Evangelical customers.
Passionate about the fight.
Playing for the Team.
Make Hard easy.

Pindrop is an Equal Opportunity Employer.

Here at Pindrop, it is our mission to create and maintain a diverse and inclusive work environment. As an equal opportunity employer all qualified applicants receive consideration for employment without regard to race, color, age, religion, sex, gender, gender identity or expression, sexual orientation, national origin, genetic information, disability, marital and/or veteran status.",4.0,"Pindrop
4.0","Atlanta, GA","Atlanta, GA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
"Data Scientist, Two Sigma Private Investments","$116K-$152K
(Glassdoor est.)","Sightway Capital is a Two Sigma company focused on private equity investments. We employ a principal mindset and flexible capital approach to building successful business platforms with experienced operators and strategic partners. The team at Sightway Capital thinks long-term, targeting business opportunities that we believe afford both asymmetric risk rewards and enterprise value creation over time. Sightway’s unique platform building approach affords team members the opportunity to participate in each investment’s growth and success from an early stage. Data science is key to Sightway’s strategy, and we aim to leverage Two Sigma’s expertise, data sources and analytical models in order to make informed investment decisions, and create enterprise value and positive outcomes for our portfolio companies.

Sightway Capital is building a world class data science team in order to execute on this vision. The team has a multifaceted data driven private investment strategy that encompasses private equity deal sourcing, due diligence, and portfolio company value creation. This role includes working with business analysts to gather business needs and requirements from our portfolio companies; forming creative data driven hypotheses to solve these needs; using a range of statistical and machine learning methods using a range of different data sources in order to build models that prove or disprove these hypotheses; communicate findings to management and work with software engineers to craft solutions based on the models you build.

You will take on the following responsibilities:

Design and implement models that explore, predict, and optimize a range of key business drivers such as lead generation, customer risk, revenue, pricing
Work with business analysts to extract business needs from portfolio company management teams
Perform data exploration and visualization in order to uncover insights from data
Brainstorm hypotheses to solve business needs
Work with Data Strategy team to source and on-board new data sets and portfolio company technical teams to on-board company data
Build models using a range of analytical techniques in order to prove or disprove hypotheses
Prepare and present findings to TSPI management, portfolio executive team
Work with software engineers to engineer tools that use production models to deliver impact for the portfolio company
You should possess the following qualifications:
1-5+ years of experience in applied data analysis & prediction, preferably in an industry setting
Experience solving business problems using data science by directly interfacing with a client’s management team would be ideal
Degree in a technical or quantitative disciplines, like statistics, mathematics, physics, electrical engineering, or computer science
Demonstrably strong data science modeling intuition and feature engineering creativity
Intimate familiarity with the potential flaws & fallacies in the applications of specific statistical methods
Experience specifying & managing requirements for datasets leveraged in your analyses
Working knowledge of SQL and common data science toolkits : Python, R, Spark, Matlab
Strong written & verbal communication and presentation skills, with experience crafting a compelling narrative supported by data
A portfolio of open-data analyses or data-driven research publications would be ideal
You will enjoy the following benefits:
Core Benefits: Fully paid medical and dental insurance premiums for employees and dependents, competitive 401k match, employer-paid life & disability insurance
Perks: Onsite gyms with laundry service, wellness activities, casual dress, snacks, game rooms
Learning: Tuition reimbursement, conference and training sponsorship
Time Off: Generous vacation and unlimited sick days, competitive paid caregiver leaves
We are proud to be an equal opportunity workplace. We do not discriminate based upon race, religion, color, national origin, sex, sexual orientation, gender identity/expression, age, status as a protected veteran, status as an individual with a disability, or any other applicable legally protected characteristics.",4.4,"Two Sigma
4.4","New York, NY","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1
"Senior Data Engineer, Ingestion","$121K-$218K
(Glassdoor est.)","Chime is the largest and fastest-growing player in the challenger-banking space, providing mobile and online banking technology in the U.S. on behalf of partner banks and facilitating over 10M accounts with no physical branches. We're a technology company relentlessly focused on helping our members achieve financial peace of mind. That's why we offer access to an award-winning bank account that doesn't charge a ton of traditional bank fees, can give members early access to their paychecks, and enables members to grow their savings automatically. And we're just getting started. We are proud of our mission, devoted to our members, and passionate about applying technology to the challenge of making financial health a reality for everyone.

We have one of the most experienced management teams in Fintech and have raised over $800M in funding from DST, General Atlantic, Iconiq, Coatue, Dragoneer, Menlo, Access, Forerunner, and others. If you're looking to join a fast-growing company with a beloved, daily-use product and an authentic mission that puts people first, we want to meet you.

About the Role

In this role, you'll be responsible overseeing the design, development and operations of large-scale, real-time data systems. The ideal candidate will be excited by the prospect of owning, optimizing or even re-designing our company's data architecture and building out a team to support our next generation of products and data initiatives. The data engineering team will support our software developers, database architects, data analysts, data scientists, and machine learning engineers on back-end data initiatives.

Responsibilities

We're looking for a leader who is self-directed and comfortable supporting the data needs of multiple teams, systems and products. Your responsibilities will include:
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS 'big data' technologies
Work with stakeholders including the Analytics, Risk, Machine Learning, and Technical Operations teams to assist with data-related technical issues and support their data infrastructure needs
Participate in key technical and design discussions with technical leads in the team as a hands-on manager
Act as a project manager for the projects that your team is responsible for
Provide technical leadership to your team by giving guidance on designs and coding when time allows
Help manage and consult in designing our data governance initiatives
Requirements
6+ years of experience in designing, implementing, optimizing and operationalizing real-time big data analytics systems including data-pipelines, data warehouses and enterprise wide data-flows
You've earned a bachelor's degree in Computer Science or other technical field
Understanding of the tradeoffs between different big data solutions
Strong analytic skills related to working with unstructured datasets
Experience with a variety of traditional, streaming, and big data tools such as:
Hadoop ecosystem: Hadoop, Hive, Spark
Kafka, Sqoop, Flume
Airflow or other workflow scheduler
Data Warehouses: Redshift, Snowflake (preferred)
SQL databases, including MySQL, Postgres
AWS cloud services: EC2, EMR, RDS
Stream-processing systems: Storm or Spark-Streaming or equivalent.
Advanced SQL, Python, Java and/or Scala
What we offer
Competitive salary based on experience, with medical and dental benefits.
Free snacks and drinks, plus weekly catered lunches.
Flexible vacation policy.
Monthly happy hours and company events.
A challenging and fulfilling opportunity to join one of the most experienced teams in FinTech and help create a completely new kind of banking service.
We know great work isn't done alone. We're building a team of individuals to Chime in with their different strengths to benefit our employees and members. We strongly believe that different backgrounds and ideas are a competitive advantage; we hire candidates of any race, color, ancestry, religion, sex, national origin, sexual orientation, gender identity, age, marital or family status, disability, Veteran status, and any other status. Chime is proud to be an Equal Opportunity Employer and will consider qualified applicants with criminal histories in a manner consistent with the San Francisco Fair Chance Ordinance. If you have a disability or special need that requires accommodation, please let us know. To learn more about how Chime collects and uses your personal information during the application process, please see the Chime Applicant Privacy Notice.",4.8,"Chime
4.8","San Francisco, CA","San Francisco, CA",201 to 500 employees,2013,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1
